hora_autorizacao,carrier_vtex,categoria produto,region,distancia,uf,dia da semana,cd_origem,City,categoria_distancia,dias_entrega2,prediction_label,prediction_dias_entrega,diff_day_auth_to_estimated2,baseline_otif,gap_baseline,OTIF_Previsto,gap_predict,dias_transportadora,prediction_dias_transportadora,gap_predict_transportadora
10.0,Mira,airfryer,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,19,20.74221972340721,21.0,32,1,13,1,2.0,19.0,21.0,2.0
16.0,Mira,lava-loucas,Norte,274201500000000.0,AM,3.0,jl,manaus,muitodistante,24,22.12820643908095,22.0,32,1,8,0,-2.0,23.0,21.0,-2.0
12.0,Mira,depurador,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,19,21.11174645120705,21.0,32,1,13,1,2.0,19.0,21.0,2.0
23.0,Bertolini,depurador,Norte,1417827000000000.0,TO,4.0,jl,talisma,longadistancia,18,16.239783049617724,16.0,31,1,13,0,-2.0,17.0,16.0,-1.0
11.0,Bertolini,aspirador,Norte,3.3815764e+16,RR,5.0,jl,boavista,muitodistante,22,23.075112077112237,23.0,40,1,18,1,1.0,22.0,22.0,0.0
12.0,Mira,bebedouro,Norte,274201500000000.0,AM,5.0,jl,manaus,muitodistante,17,20.920876208862374,21.0,31,1,14,1,4.0,17.0,21.0,4.0
18.0,Mira,panela,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,18,21.63094203038817,22.0,32,1,14,1,4.0,17.0,20.0,3.0
18.0,Mira,panela,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,18,21.63094203038817,22.0,32,1,14,1,4.0,17.0,20.0,3.0
2.0,Mira,aspirador,Norte,274201500000000.0,AM,5.0,jl,manaus,muitodistante,17,20.599661104361367,21.0,31,1,14,1,4.0,17.0,20.0,3.0
15.0,Mira,kit,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,23,21.47114960518857,21.0,32,1,9,0,-2.0,22.0,20.0,-2.0
18.0,Mira,lavadora,Norte,1.7093918e+16,TO,4.0,jl,paraisodotocantins,muitodistante,13,13.615629414404179,14.0,37,1,24,1,1.0,12.0,12.0,0.0
19.0,Mira,adega,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,18,21.980272084162248,22.0,32,1,14,1,4.0,17.0,20.0,3.0
9.0,Mira,forno,Norte,274201500000000.0,AM,5.0,jl,manaus,muitodistante,24,20.36905115557446,20.0,31,1,7,0,-4.0,24.0,20.0,-4.0
14.0,Bertolini,bebedouro,Norte,2.0973094e+16,PA,5.0,jl,ourilandiadonorte,muitodistante,17,16.10465035187475,16.0,39,1,22,0,-1.0,16.0,15.0,-1.0
